Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
71;31/01/2005;1;3;5;6;8;9;11;13;14;15;16;18;21;22;23;0;4;;GO;744;21490;276234;1289869;349.187,58;804,58;10;4;2;0;0;0
72;09/02/2005;1;2;5;7;8;11;12;13;15;16;17;18;23;24;25;0;2;;RS;485;16561;198957;1178585;571.665,39;1.010,31;10;4;2;0;0;0
73;14/02/2005;1;2;5;7;10;11;13;14;15;16;17;18;19;21;25;0;3;;PA;401;16615;240646;1388168;404.461,66;1.296,82;10;4;2;0;0;0
74;21/02/2005;1;2;3;4;5;6;8;11;13;15;16;18;22;23;25;0;7;;MS;861;36320;325482;1342101;165.704,35;575,18;10;4;2;0;0;0
75;28/02/2005;1;3;4;5;6;7;8;10;11;13;15;16;17;20;25;0;2;;RJ;564;22764;330303;1538522;531.264,65;807,39;10;4;2;0;0;0
76;07/03/2005;1;3;5;8;9;10;12;13;15;16;17;19;21;23;25;0;13;;BA;2705;63452;463129;1672037;49.566,81;101,71;10;4;2;0;0;0
77;14/03/2005;2;3;4;6;8;9;11;14;17;18;20;21;22;24;25;0;4;;MG;742;21609;228257;1213259;434.837,87;1.004,63;10;4;2;0;0;0
78;21/03/2005;1;2;3;5;6;7;8;12;13;15;16;17;18;20;23;0;1;;PA;643;23291;317982;1617133;1.007.644,94;669,06;10;4;2;0;0;0
79;28/03/2005;1;2;3;5;9;12;14;15;17;18;20;22;23;24;25;0;1;;DF;443;17526;230930;1249856;1.429.789,18;1.383,22;10;4;2;0;0;0
80;04/04/2005;1;2;3;4;5;7;9;10;14;15;17;18;20;22;25;0;1;;RN;502;19706;292151;1294632;1.387.219,92;1.184,31;10;4;2;0;0;0
81;11/04/2005;1;2;3;4;5;6;7;10;11;13;15;16;17;19;21;0;6;;BA;866;29787;387171;1619963;160.734,67;475,46;10;4;2;0;0;0
82;18/04/2005;1;4;5;6;8;9;12;13;15;17;18;19;20;22;23;0;4;;BA;636;20746;250768;1418972;378.128,77;1.019,22;10;4;2;0;0;0
83;25/04/2005;1;2;3;5;6;8;10;11;12;13;14;20;23;24;25;0;3;;BA;505;19766;290953;1615749;370.701,93;943,79;10;4;2;0;0;0
84;02/05/2005;1;2;4;6;8;12;15;16;17;19;20;22;23;24;25;0;2;;RS;525;21813;263703;1419482;729.194,11;1.190,52;10;4;2;0;0;0
85;09/05/2005;1;2;5;7;8;9;11;13;14;15;16;18;21;22;23;0;13;;BA;988;41716;303054;1673514;86.488,60;485,87;10;4;2;0;0;0
86;16/05/2005;2;4;5;6;8;9;12;13;14;17;18;19;23;24;25;0;14;;AM;1437;33924;344925;1583126;81.060,95;337,18;10;4;2;0;0;0
87;23/05/2005;1;2;3;5;8;9;10;11;13;15;18;20;22;24;25;0;14;;DF;1308;46044;353024;1711252;62.917,54;287,52;10;4;2;0;0;0
88;30/05/2005;1;2;4;5;8;9;10;11;12;14;17;18;19;24;25;0;5;;DF;853;30153;318718;1383793;257.018,77;643,22;10;4;2;0;0;0
89;06/06/2005;1;6;11;12;13;15;16;17;19;20;21;22;23;24;25;0;2;;RO;528;59274;230638;1266634;858.145,42;1.393,10;10;4;2;0;0;0
90;13/06/2005;1;2;3;8;10;11;12;15;17;20;21;22;23;24;25;0;4;;MG;525;17979;236987;1539050;400.382,66;1.307,37;10;4;2;0;0;0
91;20/06/2005;1;4;9;10;11;12;13;14;15;16;17;20;22;23;25;0;2;;AP;428;23937;203510;1341264;880.833,62;1.764,02;10;4;2;0;0;0
92;27/06/2005;1;2;4;6;8;12;13;14;15;17;18;19;21;22;24;0;5;;MG;714;22604;257642;1433995;290.246,68;871,09;10;4;2;0;0;0
93;04/07/2005;2;4;5;6;7;9;10;13;17;18;19;20;21;23;24;0;6;;PE;480;18433;230658;1352474;271.483,43;1.454,37;10;4;2;0;0;0
94;11/07/2005;2;4;8;9;11;12;13;15;16;17;18;21;22;23;24;0;2;;RJ;573;29882;267884;1577059;694.861,30;1.039,43;10;4;2;0;0;0
95;18/07/2005;1;2;3;4;5;10;11;12;14;15;17;18;19;20;22;0;2;;BA;401;20787;231813;1294859;883.199,51;1.887,85;10;4;2;0;0;0
96;25/07/2005;3;4;6;9;10;12;14;16;17;18;19;21;22;23;24;0;1;;MT;454;16790;220370;1209732;1.793.190,45;1.692,75;10;4;2;0;0;0
97;02/08/2005;3;4;6;10;12;13;14;15;17;19;20;22;23;24;25;0;4;;BA;539;19062;237912;1490877;379.485,48;1.206,95;10;4;2;0;0;0
98;08/08/2005;1;2;5;6;8;10;11;15;17;18;20;22;23;24;25;0;5;;MG;1089;31800;376336;1625070;238.130,55;466,8;10;4;2;0;0;0
99;15/08/2005;1;2;3;4;7;10;11;13;14;16;17;20;21;24;25;0;4;;ES;695;19351;227907;1278734;424.895,89;1.048,05;10;4;2;0;0;0
100;22/08/2005;1;3;4;8;9;10;11;12;13;14;16;17;22;23;25;0;6;;BA;547;39008;241845;1371980;251.438,56;1.182,00;10;4;2;0;0;0
101;29/08/2005;1;3;6;7;9;10;13;14;16;17;19;20;21;23;24;0;9;;AM;917;26691;287551;1473207;144.911,71;607,23;10;4;2;0;0;0
102;05/09/2005;1;2;3;4;7;9;10;11;12;18;19;21;22;23;25;0;5;;BA;622;20635;267607;1361023;323.383,57;1.114,09;10;4;2;0;0;0
103;12/09/2005;1;2;3;4;5;7;8;10;11;16;17;18;22;23;25;0;5;;MS;467;26477;269789;1577960;276.012,69;1.266,50;10;4;2;0;0;0
104;19/09/2005;5;6;7;10;11;13;14;15;16;18;19;21;22;24;25;0;2;;GO;354;13835;196494;1186254;982.532,88;2.379,02;10;4;2;0;0;0
105;26/09/2005;4;6;7;8;9;10;11;12;13;15;17;19;21;22;25;0;2;;PE;425;15988;225268;1278152;855.532,63;1.725,44;10;4;2;0;0;0
106;03/10/2005;1;2;3;4;5;6;10;12;13;14;15;17;22;23;25;0;3;;RJ;471;22766;286573;1570457;442.710,00;1.208,49;10;4;2;0;0;0
107;10/10/2005;1;3;4;6;7;8;9;11;12;15;17;18;21;24;25;0;1;;SP;494;16680;215950;1314644;1.801.807,58;1.563,17;10;4;2;0;0;0
108;17/10/2005;1;2;4;7;8;9;11;12;14;15;16;18;22;23;25;0;8;;AM;1094;26164;281728;1425759;159.562,30;498,16;10;4;2;0;0;0
109;24/10/2005;1;3;5;7;9;11;12;13;16;18;20;21;23;24;25;0;14;;BA;2257;44187;335886;1552174;76.346,11;202,19;10;4;2;0;0;0
110;31/10/2005;1;3;4;5;6;12;13;14;17;19;20;21;22;23;25;0;2;;PE;442;23523;280697;1423182;706.957,82;1.370,96;10;4;2;0;0;0
111;07/11/2005;1;5;6;10;11;12;13;15;17;18;19;21;22;24;25;0;1;;MG;415;17785;266234;1440550;1.503.858,33;1.553,04;10;4;2;0;0;0
